CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Segment,Recommendation
1,Male,19,15,39,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
2,Male,21,15,81,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
3,Female,20,16,6,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
4,Female,23,16,77,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
5,Female,31,17,40,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
6,Female,22,17,76,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
7,Female,35,18,6,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
8,Female,23,18,94,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
9,Male,64,19,3,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
10,Female,30,19,72,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
11,Male,67,19,14,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
12,Female,35,19,99,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
13,Female,58,20,15,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
14,Female,24,20,77,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
15,Male,37,20,13,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
16,Male,22,20,79,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
17,Female,35,21,35,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
18,Male,20,21,66,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
19,Male,52,23,29,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
20,Female,35,23,98,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
21,Male,35,24,35,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
22,Male,25,24,73,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
23,Female,46,25,5,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
24,Male,31,25,73,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
25,Female,54,28,14,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
